firstName,phoneNumber,note
Aarav,9876543210,Interested in product demo
Diya,9345123456,Requested callback next week
Rohan,8912345678,Follow up for subscription
Meera,9988776655,Wants discount info
Aryan,9090909090,Referred by friend
Sneha,8123456789,Asked for brochure
Kabir,9871234560,Customer since 2021
Isha,9356781245,High priority lead
Vivaan,8123987654,Requested email follow-up
Anaya,9012345678,Demo scheduled
Krishna,8899776655,Interested in enterprise plan
Tanvi,8123445566,Replied to ad campaign
Aditya,8234567890,Requested invoice copy
Saanvi,8543212345,Old client reactivation
Om,9312345600,Technical support call
Kiara,9100987654,Sent feedback
Reyansh,9098765432,Follow-up in 3 days
Naina,8899123456,Subscribed to newsletter
Arjun,9345001122,Trial account user
Sara,9023456781,Complaint about service
Dev,8123498765,Positive review given
Myra,8123411111,Reschedule appointment
Ayaan,9000111222,Asked for custom pricing
Tara,9011223344,Shared testimonial
Neel,9087654321,Interested in partnership
